[DEBUG]20151112@09:16:32,721:org.apache.http.wire - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[DEBUG]20151112@09:16:32,721:org.apache.http.wire - http-outgoing-0 >> "[\r][\n]"
[DEBUG]20151112@09:16:32,721:org.apache.http.wire - http-outgoing-0 >> "{"desiredCapabilities":{"browserName":"firefox","version":"","platform":"ANY"},"requiredCapabilities":{}}"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "content-type: application/json; charset=UTF-8[\r][\n]"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "connection: close[\r][\n]"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "content-length: 420[\r][\n]"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "server: httpd.js[\r][\n]"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "date: Thu, 12 Nov 2015 17:16:32 GMT[\r][\n]"
[DEBUG]20151112@09:16:32,847:org.apache.http.wire - http-outgoing-0 << "[\r][\n]"
[DEBUG]20151112@09:16:32,852:org.apache.http.headers - http-outgoing-0 << HTTP/1.1 200 OK
[DEBUG]20151112@09:16:32,852:org.apache.http.headers - http-outgoing-0 << content-type: application/json; charset=UTF-8
[DEBUG]20151112@09:16:32,852:org.apache.http.headers - http-outgoing-0 << connection: close
[DEBUG]20151112@09:16:32,852:org.apache.http.headers - http-outgoing-0 << content-length: 420
[DEBUG]20151112@09:16:32,853:org.apache.http.headers - http-outgoing-0 << server: httpd.js
[DEBUG]20151112@09:16:32,853:org.apache.http.headers - http-outgoing-0 << date: Thu, 12 Nov 2015 17:16:32 GMT
[DEBUG]20151112@09:16:32,901:org.apache.http.wire - http-outgoing-0 << "{"name":"newSession","sessionId":"e8de338d-7b1d-db44-a767-9e6f56d7c539","status":0,"value":{"cssSelectorsEnabled":true,"browserName":"firefox","handlesAlerts":true,"javascriptEnabled":true,"nativeEvents":false,"platform":"Darwin","rotatable":false,"takesScreenshot":true,"version":"42.0","webStorageEnabled":true,"applicationCacheEnabled":true,"databaseEnabled":true,"locationContextEnabled":true,"acceptSslCerts":true}}"
[DEBUG]20151112@09:16:32,901:org.apache.http.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-0: Close connection
[DEBUG]20151112@09:16:32,902:org.apache.http.impl.execchain.MainClientExec - Connection discarded
[DEBUG]20151112@09:16:32,903:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection released: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[DEBUG]20151112@09:16:32,909:org.apache.http.client.protocol.RequestAddCookies - CookieSpec selected: default
[DEBUG]20151112@09:16:32,909:org.apache.http.client.protocol.RequestAuthCache - Auth cache not set in the context
[DEBUG]20151112@09:16:32,909:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[DEBUG]20151112@09:16:32,909:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection leased: [id: 1][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG]20151112@09:16:32,909:org.apache.http.impl.execchain.MainClientExec - Opening connection {}->http://127.0.0.1:7055
[DEBUG]20151112@09:16:32,910:org.apache.http.impl.conn.DefaultHttpClientConnectionOperator - Connecting to /127.0.0.1:7055
[DEBUG]20151112@09:16:32,910:org.apache.http.impl.conn.DefaultHttpClientConnectionOperator - Connection established 127.0.0.1:54523<->127.0.0.1:7055
[DEBUG]20151112@09:16:32,910:org.apache.http.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-1: set socket timeout to 10800000
[DEBUG]20151112@09:16:32,910:org.apache.http.impl.execchain.MainClientExec - Executing request POST /hub/session/e8de338d-7b1d-db44-a767-9e6f56d7c539/url HTTP/1.1
[DEBUG]20151112@09:16:32,910:org.apache.http.impl.execchain.MainClientExec - Target auth state: UNCHALLENGED
[DEBUG]20151112@09:16:32,911:org.apache.http.impl.execchain.MainClientExec - Proxy auth state: UNCHALLENGED
[DEBUG]20151112@09:16:32,911:org.apache.http.headers - http-outgoing-1 >> POST /hub/session/e8de338d-7b1d-db44-a767-9e6f56d7c539/url HTTP/1.1
[DEBUG]20151112@09:16:32,911:org.apache.http.headers - http-outgoing-1 >> Content-Type: application/json; charset=utf-8
[DEBUG]20151112@09:16:32,911:org.apache.http.headers - http-outgoing-1 >> Content-Length: 32
[DEBUG]20151112@09:16:32,911:org.apache.http.headers - http-outgoing-1 >> Host: 127.0.0.1:7055
